"PROGRAMMA","ASSE","LINEA","AZIONE","TITOLO_PROGETTO","AMBITO_INTERVENTO","SETTORE","DATA_AVVIO","DURATA_PROGETTO","COSTO_COMPLESSIVO","CONTRIBUTO_TOTALE_RICHIESTO","CONTRIBUTO_TOTALE_AMMESSO","CONTRIBUTO_INVEST_RICHIESTO","CONTRIBUTO_INVEST_AMMESSO","CONTRIBUTO_INVEST_CONCESSO_PROVVISORIO","COFINANZIAMENTO_INVEST_BENEFICIARIO","CONTRIBUTO_SPESE_RICHIESTO","CONTRIBUTO_SPESE_AMMESSO","CONTRIBUTO_SPESE_CONCESSO_PROVVISORIO","BENEFICIARIO","CODICE_ATECO","PROVINCIA","LOCALIZZAZIONE_INVESTIMENTO","CODICE_ISTAT","SITO_WEB","DESCRIZIONE_PROGETTO","REVOCA"
"PO FESR 2007-2013","1","1.1","1.1.3","Servizi di Analisi isotopiche per la traccaibilità dei prodotti agroalimentari","RICERCA E SPERIMENTAZIONE","SISTEMA AGROALIMENTARE","19/12/2011","36","1.084.454,00","775.405,40","775.405,40","533.720,40","533.720,40","364.592,40","243.061,60","241.685,00","241.685,00","241.685,00","TOINTECH SRL","72.19.09 - SISTEMA AGROALIMENTARE","BA","VALENZANO","072048","WWW.ENCOSYS.IT","Sviluppo di servizi di analisi di tracciabilità degli alimenti",""
"PO FESR 2007-2013","1","1.1","1.1.3","Produzione di velivoli ultraleggeri","RICERCA E SPERIMENTAZIONE","AEROSPAZIO, AERONAUTICA, ELICOTTERISTICA","02/12/2011","36","415.750,00","191.750,00","191.750,00","129.450,00","129.450,00","129.450,00","86.300,00","62.300,00","62.300,00","62.300,00","BLACKSHAPE SRL","30.30.09  - AEROSPAZIO, AERONAUTICA, ELICOTTERISTICA","BA","MONOPOLI","072030","http://www.blackshapeaircraft.com/en/","Sviluppo della produzione di velivoli monoposto ultraleggeri",""
"PO FESR 2007-2013","1","1.1","1.1.3","SERVIZI DI TRASCRIZIONE DI FILE AUDIO E VIDEO IN VARIE LINGUE","RICERCA E SPERIMENTAZIONE","ICT","01/02/2012","36","1.765.092,20","807.725,20","807.725,20","529.735,20","529.735,20","529.735,20","353.156,88","277.990,00","277.990,00","277.990,00","SUBTITLE VOICE SRL","62.01.0 - ICT","BR","S. VITO DEI NORMANNI","074017","","Sviluppo dei servizi  di tecnologia di trascrizione automatica del parlato per la sottotitolazione in diretta",""
"PO FESR 2007-2013","1","1.1","1.1.3","produzione di dispositivi elettromeccanici di sicurezza basati su intelligenza artificiale","RICERCA E SPERIMENTAZIONE","AMBIENTE E RISPARMIO ENERGETICO","","36","593.372,75","331.666,90","303.952,63","220.513,60","201.969,53","201.969,53","134.829,10","111.153,30","101.983,10","101.983,10","TEKNICONVERT SRL","26.11.0 - AMBIENTE E RISPARMIO ENERGETICO","TA","MARTINA FRANCA","073013","","","A.D. N. 506/2013"
"PO FESR 2007-2013","1","1.1","1.1.3","Analisi chimiche di aria, acqua e terra","RICERCA E SPERIMENTAZIONE","AMBIENTE E RISPARMIO ENERGETICO","14/10/2011","36","593.372,75","284.197,63","283.328,65","203.112,63","202.243,65","202.243,65","134.829,10","81.085,00","81.085,00","81.085,00","BONASSISALAB SRLU","71.20.10 - AMBIENTE E RISPARMIO ENERGETICO","FG","FOGGIA","071024","WWW.BONASSISA.IT","Sviluppo dei servizi di analisi ambientali e di prodotti agroalimentari",""
"PO FESR 2007-2013","1","1.1","1.1.3","Progettazione e realizzazione di impianti per la domotica e la sicurezza in ambito residenziale","RICERCA E SPERIMENTAZIONE","ICT","26/10/2012","36","2.634.964,00","1.195.284,25","1.188.081,25","800.358,00","793.155,00","793.155,00","528.770,00","394.926,25","394.926,25","394.926,25","CUPERSAFETY SRL","43.21.02  - ICT","BA","CONVERSANO","072019","www.cupersafety.it","Progettazione ed installazione (inclusa manutenzione e riparazione) di impianti elettronici per comfort e sicurezza",""
"PO FESR 2007-2013","1","1.1","1.1.3","Produzione di software per l'ottimizzazione industriale nell'ambito della progettazione di componenti elettromeccanici innovative ad alte prestazioni","RICERCA E SPERIMENTAZIONE","ICT","05/08/2014","36","328.979,00","161.872,80","154.276,55","113.764,80","106.114,80","106.114,80","70.743,20","48.108,00","48.161,75","48.161,75","CYBERDINE SRL","62.01.00 PRODUZIONE DI SOFTWARE NON CONNESSO ALL'EDIZIONE - Settore ICT","BA","BARI","072006","www.cyberdine.it","Produzione di software per l'ottimizzazione industriale nell'ambito della progettazione di componenti elettromeccanici innovative ad alte prestazioni",""
"PO FESR 2007-2013","1","1.1","1.1.3","Sviluppo di servizi nei settori dell ecogestione (audit ambientale, controllo ambientale, tutela dell'ambiente, controllo igiene/ambientale), delleinnovazioni tecnologiche, della ricerca scientifica, della sicurezza del lavoro, delle analisi chimico-fisiche-batteriologiche, cliniche e bio-chimiche","RICERCA E SPERIMENTAZIONE","Ambiente e risparmio energetico","31/12/2013","36","124.608,68","56.113,60","56.730,19","37.409,60","37.382,60","37.382,60","24.921,74","18.704,00","19.347,59","19.347,59","GEOVIS SRL","74.90.93 - altre attività di consulenza tecnica nca- Settore Ambiente e risparmio energetico","BA","VALENZANO","072048","www.geovis.it","Sviluppo di servizi nei settori dell ecogestione (audit ambientale, controllo ambientale, tutela dell'ambiente, controllo igiene/ambientale), delleinnovazioni tecnologiche, della ricerca scientifica, della sicurezza del lavoro, delle analisi chimico-fisiche-batteriologiche, cliniche e bio-chimiche",""
"PO FESR 2007-2013","1","1.1","1.1.3","Sviluppo della produzione di sale per uso topico.","RICERCA E SPERIMENTAZIONE","Salute dell'uomo","05/08/2014","36","1.369.434,22","632.035,28","626.767,28","442.168,33","436.900,33","436.900,33","291.266,89","189.866,95","189.866,95","189.866,95","SALINE SRL","20.59.90 - Fabbricazione di altri prodotti chimici nca  - Settore Salute dell'uomo","BT","MARGHERITA DI SAVOIA","110005","www.salineitalia.it","Sviluppo della produzione di sale per uso topico.",""
"PO FESR 2007-2013","1","1.1","1.1.3","Sviluppo della produzione di unità diriscaldamento a biomasse, industriali e civili","RICERCA E SPERIMENTAZIONE","Ambiente e risparmio energetico","","36","325.988,00","154.844,30","146.368,61","97.796,40","97.796,40","","65.197,60","57.047,90","48.572,21","","PERRY SRL","25.21.00 - Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale - Settore Ambiente e risparmio energetico","LE","CASARANO","075016","","Sviluppo della produzione di unità diriscaldamento a biomasse, industriali e civili",""
